SCHID,LEAID,SCH_NAME,LEA_STATE_NAME_x,LEA_ZIP,white_student_suspension_total,black_student_suspension_total,black_student_pop,white_student_pop,susp_black_white_ratio,gini_inequality,med_hh_inc,white_prop,bach_plus_prop,SCH_GRADE_PS,SCH_GRADE_KG,SCH_GRADE_G06,SCH_GRADE_G07,SCH_GRADE_G08,SCH_GRADE_G09,SCH_GRADE_G10,SCH_GRADE_G11,SCH_GRADE_G12,SCH_SSCLASSES_IND,SCH_GT_IND,SCH_IBENR_IND,SCH_APSEL,teacher_prop,security_pop_bool,security_pop,law_prop,counc_prop,cert_teacher_prop,total_susp_per_pop,school_pop,reduced_free_lunch_prop,male_prop,black_white_pop_ratio
102,3620580,Passages Academy @ Bronx Hope,NEW YORK,NA,0,0,11,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,0,18,NA,1,1
103,3620580,Passages Academy @ Belmont,NEW YORK,NA,0,0,24,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,0,30,NA,0.9333333333333333,1
107,3620580,Passages Academy LSP @ Dobbs Ferry,NEW YORK,NA,0,0,5,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,0,6,NA,1,1
113,3620580,Passages Academy LSP @ South Ozone Park,NEW YORK,NA,0,0,4,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,0,4,NA,1,1
116,3620580,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,NEW YORK,NA,0,2,140,121,Inf,NA,NA,NA,NA,,,,,,,,,,,,,No,NA,NA,NA,NA,NA,NA,0.007662835249042145,1087,NA,0.46182152713891444,0.5363984674329502
127,3620580,BRONX STEM AND ARTS ACADEMY (THE),NEW YORK,NA,0,0,25,2,NA,NA,NA,NA,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,0,125,NA,0.528,0.9259259259259259
130,3620580,PS 23 NEW CHILDREN'S SCHOOL (THE),NEW YORK,NA,0,0,87,4,NA,NA,NA,NA,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,0,323,NA,0.5077399380804953,0.9560439560439561
158,3620580,PS 178 DR SELMAN WAKSMAN,NEW YORK,NA,0,0,187,7,NA,NA,NA,NA,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,0,295,NA,0.5288135593220339,0.9639175257731959
183,3620580,PS 279 CAPT MANUEL RIVERA JR,NEW YORK,NA,0,0,116,6,NA,NA,NA,NA,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,0,778,NA,0.5077120822622108,0.9508196721311475
227,3620580,PS 214,NEW YORK,NA,0,2,190,8,Inf,NA,NA,NA,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,0.010101010101010102,893,NA,0.49048152295632697,0.9595959595959596
249,3620580,IS 250 ROBERT F KENNEDY COMMUNITY MIDDLE SCHOOL (THE),NEW YORK,NA,0,2,89,18,Inf,NA,NA,NA,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,0.018691588785046728,328,NA,0.5548780487804879,0.8317757009345794
519,3620580,PS 5 ELLEN LURIE,NEW YORK,NA,0,0,28,2,NA,NA,NA,NA,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,0,394,NA,0.5456852791878173,0.9333333333333333
523,3620580,PS 18 PARK TERRACE,NEW YORK,NA,0,0,6,5,NA,NA,NA,NA,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,0,282,NA,0.49645390070921985,0.5454545454545454
528,3620580,PS 48 PO MICHAEL J BUCZEK,NEW YORK,NA,0,0,13,8,NA,NA,NA,NA,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,0,294,NA,0.5170068027210885,0.6190476190476191
551,3620580,IS 528 BEA FULLER RODGERS SCHOOL,NEW YORK,NA,0,0,5,2,NA,NA,NA,NA,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,0,236,NA,0.5042372881355932,0.7142857142857143
554,3620580,Ps 723,NEW YORK,NA,0,1,158,28,Inf,NA,NA,NA,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,0.005376344086021506,428,NA,0.7219626168224299,0.8494623655913979
582,3620580,LANDMARK HIGH SCHOOL,NEW YORK,NA,0,2,95,20,Inf,NA,NA,NA,NA,,,,,,,,,,,,,Yes,NA,NA,NA,NA,NA,NA,0.017391304347826087,349,NA,0.4355300859598854,0.8260869565217391
584,3620580,MANHATTAN VILLAGE ACADEMY,NEW YORK,NA,0,0,59,42,NA,NA,NA,NA,NA,,,,,,,,,,,,,Yes,NA,NA,NA,NA,NA,NA,0,421,NA,0.4418052256532066,0.5841584158415841
585,3620580,VANGUARD HIGH SCHOOL,NEW YORK,NA,0,1,107,25,Inf,NA,NA,NA,NA,,,,,,,,,,,,,Yes,NA,NA,NA,NA,NA,NA,0.007575757575757576,425,NA,0.4611764705882353,0.8106060606060606
586,3620580,MANHATTAN INTERNATIONAL HIGH SCHOOL,NEW YORK,NA,0,0,70,43,NA,NA,NA,NA,NA,,,,,,,,,,,,,Yes,NA,NA,NA,NA,NA,NA,0,309,NA,0.5889967637540453,0.6194690265486725
592,3620580,BEACON HIGH SCHOOL,NEW YORK,NA,0,0,214,564,NA,NA,NA,NA,NA,,,,,,,,,,,,,No,NA,NA,NA,NA,NA,NA,0,1499,NA,0.3629086057371581,0.2750642673521851
593,3620580,PARK EAST HIGH SCHOOL,NEW YORK,NA,0,0,83,16,NA,NA,NA,NA,NA,,,,,,,,,,,,,No,NA,NA,NA,NA,NA,NA,0,363,NA,0.46831955922865015,0.8383838383838383
595,3620580,UNITY CENTER FOR URBAN TECHNOLOGIES,NEW YORK,NA,0,0,60,14,NA,NA,NA,NA,NA,,,,,,,,,,,,,Yes,NA,NA,NA,NA,NA,NA,0,310,NA,0.5967741935483871,0.8108108108108109
